Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Dublin Bay South,Flynn,Mannix,M,Non-Party,NON-P.,8,0,1227,645,Excluded,165,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Gilbourne,Jacqui,F,Renua Ireland,R.I.,8,0,1133,634,Excluded,166,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Humphreys,Kevin,M,The Labour Party,LAB.,8,0,0,3121,Excluded,167,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Keigher,John Dominic,M,Non-Party,NON-P.,8,0,1930,48,Excluded,168,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Mooney,Annette,F,Solidarity - People Before Profit,S.P.B.P.,8,0,698,1002,Excluded,169,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Murphy,Eoghan,M,Fine Gael,F.G.,8,317,0,6346,Elected,170,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,O'Callaghan,Jim,M,Fianna Fáil,F.F.,8,761,0,5474,Elected,171,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,O'Connell,Kate,F,Fine Gael,F.G.,8,1649,0,4624,,172,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,O'Leary,Sean,M,Non-Party,NON-P.,8,0,1968,11,Excluded,173,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Ryan,Eamonn,M,Green Party/ Comhaontas Glas,G.P.,8,0,0,8888,Elected,174,17,Cuan Bhaile Átha Cliath Theas
Dublin Bay South,Scallan,Ben,M,Irish Freedom Party,I.F.P.,8,0,1725,245,Excluded,175,17,Cuan Bhaile Átha Cliath Theas
Dublin Central,Brien,Gillian,F,Solidarity - People Before Profit,S.P.B.P.,9,0,0,776,Excluded,161,11,Baile Átha Cliath Láir
Dublin Central,Burke,Christy,M,Non-Party,NON-P.,9,1120,0,1509,,162,11,Baile Átha Cliath Láir
Dublin Central,Clohessy,Patrick,M,Non-Party,NON-P.,9,0,1526,33,Excluded,163,11,Baile Átha Cliath Láir
Dublin Central,Costello,Joe,M,The Labour Party,LAB.,9,0,0,1702,Excluded,164,11,Baile Átha Cliath Láir
