Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Cavan-Monaghan,O'Reilly,T.P.,,4,0,0,6852,0,4,5124,5179,2,194
Cavan-Monaghan,O'Reilly,Sarah,,5,0,0,7717,0,29,3840,4314,2,193
Cavan-Monaghan,O'Reilly,T.P.,,5,0,0,6641,0,211,5124,5390,2,194
Cavan-Monaghan,O'Reilly,Sarah,,6,0,0,7615,0,102,3840,4416,2,193
Cavan-Monaghan,O'Reilly,T.P.,,6,0,0,6562,0,79,5124,5469,2,194
Cavan-Monaghan,O'Reilly,Sarah,,7,0,0,7298,0,317,3840,4733,2,193
Cavan-Monaghan,O'Reilly,T.P.,,7,0,0,6532,0,30,5124,5499,2,194
Cavan-Monaghan,O'Reilly,Sarah,,8,0,0,7210,0,88,3840,4821,2,193
Cavan-Monaghan,O'Reilly,T.P.,,8,0,0,5439,0,1093,5124,6592,2,194
Cavan-Monaghan,O'Reilly,Sarah,,9,0,0,6286,0,924,3840,5745,2,193
Cavan-Monaghan,O'Reilly,T.P.,,9,0,0,4834,0,605,5124,7197,2,194
Cavan-Monaghan,O'Reilly,Sarah,Excluded,10,0,10,0,0,-5745,3840,0,2,193
Cavan-Monaghan,O'Reilly,T.P.,,10,0,0,3981,0,853,5124,8050,2,194
Cavan-Monaghan,O'Reilly,Sarah,Excluded,11,0,10,0,0,0,3840,0,2,193
Cavan-Monaghan,O'Reilly,T.P.,Excluded,11,0,11,3385,0,596,5124,8646,2,194
Cavan-Monaghan,Smith,Brendan,,1,0,0,4677,0,0,7354,7354,2,195
Cavan-Monaghan,Smith,Emmett,,1,0,0,11201,2178,0,830,830,2,196
Cavan-Monaghan,Smith,Brendan,,2,0,0,4597,0,80,7354,7434,2,195
Cavan-Monaghan,Smith,Emmett,,2,0,0,11121,2098,80,830,910,2,196
Cavan-Monaghan,Smith,Brendan,,3,0,0,4555,0,42,7354,7476,2,195
Cavan-Monaghan,Smith,Emmett,,3,0,0,10770,1747,351,830,1261,2,196
Cavan-Monaghan,Smith,Brendan,,4,0,0,4549,0,6,7354,7482,2,195
Cavan-Monaghan,Smith,Emmett,,4,0,0,10752,1729,18,830,1279,2,196
Cavan-Monaghan,Smith,Brendan,,5,0,0,4512,0,37,7354,7519,2,195
Cavan-Monaghan,Smith,Emmett,,5,0,0,10747,1724,5,830,1284,2,196
Cavan-Monaghan,Smith,Brendan,,6,0,0,4409,0,103,7354,7622,2,195
Cavan-Monaghan,Smith,Emmett,,6,0,0,10573,1550,174,830,1458,2,196
Cavan-Monaghan,Smith,Brendan,,7,0,0,4364,0,45,7354,7667,2,195
Cavan-Monaghan,Smith,Emmett,Excluded,7,0,7,0,1550,-1458,830,0,2,196
Cavan-Monaghan,Smith,Brendan,,8,0,0,4191,0,173,7354,7840,2,195
Cavan-Monaghan,Smith,Emmett,Excluded,8,0,7,0,1550,0,830,0,2,196
Cavan-Monaghan,Smith,Brendan,,9,0,0,3919,0,272,7354,8112,2,195
Cavan-Monaghan,Smith,Emmett,Excluded,9,0,7,0,1550,0,830,0,2,196
Cavan-Monaghan,Smith,Brendan,,10,0,0,3085,0,834,7354,8946,2,195
Cavan-Monaghan,Smith,Emmett,Excluded,10,0,7,0,1550,0,830,0,2,196
Cavan-Monaghan,Smith,Brendan,Elected,11,0,11,1027,0,2058,7354,11004,2,195
Cavan-Monaghan,Smith,Emmett,Excluded,11,0,7,0,1550,0,830,0,2,196
Cavan-Monaghan,Smyth,Niamh,,1,0,0,6286,0,0,5745,5745,2,197
Cavan-Monaghan,Smyth,Niamh,,2,0,0,6142,0,144,5745,5889,2,197
Cavan-Monaghan,Smyth,Niamh,,3,0,0,6046,0,96,5745,5985,2,197
Cavan-Monaghan,Smyth,Niamh,,4,0,0,6035,0,11,5745,5996,2,197
Cavan-Monaghan,Smyth,Niamh,,5,0,0,5978,0,57,5745,6053,2,197
Cavan-Monaghan,Smyth,Niamh,,6,0,0,5879,0,99,5745,6152,2,197
Cavan-Monaghan,Smyth,Niamh,,7,0,0,5806,0,73,5745,6225,2,197
Cavan-Monaghan,Smyth,Niamh,,8,0,0,5709,0,97,5745,6322,2,197
Cavan-Monaghan,Smyth,Niamh,,9,0,0,5225,0,484,5745,6806,2,197
Cavan-Monaghan,Smyth,Niamh,,10,0,0,3855,0,1370,5745,8176,2,197
Cavan-Monaghan,Smyth,Niamh,Elected,11,0,11,1080,0,2775,5745,10951,2,197
Cavan-Monaghan,Tully,Pauline,,1,0,0,1865,0,0,10166,10166,2,198
Cavan-Monaghan,Tully,Pauline,Elected,2,0,2,0,0,3291,10166,13457,2,198
Cavan-Monaghan,Tully,Pauline,Elected,3,880,2,0,0,-1426,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,4,880,2,0,0,0,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,5,880,2,0,0,0,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,6,880,2,0,0,0,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,7,880,2,0,0,0,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,8,880,2,0,0,0,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,9,880,2,0,0,0,10166,12031,2,198
Cavan-Monaghan,Tully,Pauline,Elected,10,880,2,0,0,0,10166,12031,2,198
